sample_name	sample_number	batch	outcome	
GSM907792.CEL	1	1	case	
GSM907793.CEL	2	1	case	
GSM907794.CEL	3	1	case	
GSM907795.CEL	4	1	case	
GSM907796.CEL	5	1	case	
GSM907797.CEL	6	1	case	
GSM907798.CEL	7	1	case	
GSM907799.CEL	8	1	case	
GSM907800.CEL	9	1	case	
GSM907801.CEL	10	1	case	
GSM907802.CEL	11	1	case	
GSM907803.CEL	12	1	case	
GSM907804.CEL	13	1	case	
GSM907805.CEL	14	1	case	
GSM907806.CEL	15	1	case	
GSM907807.CEL	16	1	control	
GSM907808.CEL	17	1	control	
GSM907809.CEL	18	1	control	
GSM907810.CEL	19	1	control	
GSM907811.CEL	20	1	control	
GSM907812.CEL	21	1	control	
GSM907813.CEL	22	1	control	
GSM907814.CEL	23	1	control	
GSM907815.CEL	24	1	control	
GSM907816.CEL	25	1	control	
GSM907817.CEL	26	1	control	
GSM907818.CEL	27	1	control	
GSM907819.CEL	28	1	control	
GSM907820.CEL	29	1	control	
GSM907821.CEL	30	1	control	
GSM907822.CEL	31	1	control	
GSM907823.CEL	32	1	control	
GSM907824.CEL	33	1	control	
GSM907825.CEL	34	1	case	
GSM907826.CEL	35	1	case	
GSM907827.CEL	36	1	case	
GSM907828.CEL	37	1	case	
GSM907829.CEL	38	1	case	
GSM907830.CEL	39	1	case	
GSM907831.CEL	40	1	case	
GSM907832.CEL	41	1	case	
GSM907833.CEL	42	1	case	
GSM907834.CEL	43	1	case	
GSM907835.CEL	44	1	control	
GSM907836.CEL	45	1	control	
GSM907837.CEL	46	1	control	
GSM907838.CEL	47	1	control	
GSM907839.CEL	48	1	control	
GSM907840.CEL	49	1	control	
GSM907841.CEL	50	1	control	
GSM907842.CEL	51	1	control	
GSM907843.CEL	52	1	control	
GSM907844.CEL	53	1	control	
GSM907845.CEL	54	1	control	
GSM907846.CEL	55	1	control	
GSM907847.CEL	56	1	control	
GSM907848.CEL	57	1	control	
GSM907849.CEL	58	1	control	
GSM907850.CEL	59	1	control	
GSM907851.CEL	60	1	control	
GSM907852.CEL	61	1	control	
GSM907853.CEL	62	1	control	
GSM907854.CEL	63	1	case	
GSM907855.CEL	64	1	case	
GSM907856.CEL	65	1	case	
GSM907857.CEL	66	1	case	
GSM907858.CEL	67	1	case	
GSM907859.CEL	68	1	case	
GSM907860.CEL	69	1	case	
GSM907861.CEL	70	1	control	
GSM907862.CEL	71	1	control	
GSM907863.CEL	72	1	control	
GSM907864.CEL	73	1	control	
GSM907865.CEL	74	1	control	
GSM907866.CEL	75	1	control	
GSM907867.CEL	76	1	control	
GSM907868.CEL	77	1	control	
GSM907869.CEL	78	1	control	
GSM907870.CEL	79	1	control	
